fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-05-09,12,18.466916294548387,14.637814525777012,12.525851902697232,100.0,0,0,171,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
2,2023-05-10,12,24.962538096125208,18.467406197293514,14.506971934627686,97.4910394265233,7,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
3,2023-05-11,12,20.858221431315986,14.7380049262507,12.442272633719538,98.2078853046595,5,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
4,2023-05-12,12,28.990837195840584,21.25264321286157,15.977947076519264,97.1326164874552,8,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
5,2023-05-13,12,21.119556032197814,18.01713303223737,15.005368607402172,100.0,0,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
6,2023-05-14,12,18.275651877099627,14.948759028933644,12.813147747546344,100.0,0,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
7,2023-05-15,12,30.28403755342926,21.041644261541936,16.79251470150073,95.6989247311828,12,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
8,2023-05-16,12,19.909844237363032,12.85359730981822,10.835479384793771,98.9247311827957,3,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
9,2023-05-17,12,15.786974762671115,9.853693815735463,9.134637737629989,99.6415770609319,1,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
10,2023-05-18,12,21.57318748753292,16.136305964125928,13.971763439313742,98.9247311827957,3,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
11,2023-05-19,12,24.620155769611124,18.43763656180706,15.125814092951462,100.0,0,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
12,2023-05-20,12,14.447320520827578,10.562415013952819,9.536055664253979,100.0,0,0,279,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
13,2023-05-21,12,15.011886560268229,14.154857216022728,13.073154252149797,100.0,0,0,94,0.02552314928976662,7.873242017790835e-05,0.10784015325759626,0.2619748748226697,39.620728443102124,2.185801650879991
