PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,13.46198973004177,3.4392648462757918,9.675306511410788,2.057154197186712,8.077530944771539,1.3079480686752851,98.75843454790824,1.0872983963551188,13
30,18.670271767177375,4.436003087183207,13.821675053081815,2.9674620424493297,11.56877167463238,1.9331852298128058,98.63611565739225,1.439312689044706,13
45,21.100548293756223,5.000694501466908,15.777070082027535,3.57866406141625,13.210844551931208,2.356383532820844,98.9247311827957,1.4035053912151398,13
60,23.593761260396523,5.622325062030187,17.398904582764604,3.9395814407584795,14.355032296343627,2.4723691941990884,99.63768115942028,0.59166418907806,13
