lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2024-12-12,10,22.438821463462403,15.871778297872464,8.517673553538215,65.3179190751445,60,0,173,0.005,0.0001,0.1358502534534162,0.5,17.616177326843495,2.198997581963046
2,2024-12-13,10,29.723385154563317,22.303857542338093,10.990486356482835,69.50354609929079,86,0,282,0.005,0.0001,0.5,0.5,26.451181141570732,2.6198781151285617
3,2024-12-14,10,30.08361599890433,19.750697527214978,10.898073398017653,78.01418439716312,62,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
4,2024-12-15,10,37.250017500509365,22.901380657592078,12.19177230788569,69.8581560283688,85,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
5,2024-12-16,10,27.30316398040737,18.430037311484583,9.08935194581973,68.08510638297872,90,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
6,2024-12-17,10,26.68744992781965,16.675808506945074,7.8784822885456505,46.09929078014184,152,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
7,2024-12-18,10,30.838966701182105,20.696292681301223,9.260513767551732,39.361702127659576,171,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
8,2024-12-19,10,31.79563933062351,21.181236443680593,10.169869450489498,51.77304964539007,136,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
9,2024-12-20,10,32.230468896850525,21.093580876781562,9.764111738517753,46.45390070921986,151,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
10,2024-12-21,10,32.409349429619674,23.79497073519091,9.149175932006566,13.47517730496454,244,0,282,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
11,2024-12-22,10,27.233031561093465,18.35317067237368,8.165344725243195,39.42307692307692,63,0,104,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
