lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2024-12-12,10,28.899467706377237,20.68917646970339,10.975617052537755,70.58823529411765,50,0,170,0.005,0.0001,0.1358502534534162,0.5,17.616177326843495,2.198997581963046
2,2024-12-13,10,39.61849210975387,28.75198630964805,13.908311614907701,77.41935483870968,63,0,279,0.005,0.0001,0.5,0.5,26.451181141570732,2.6198781151285617
3,2024-12-14,10,34.340095990764674,25.190836085413988,13.959940427042255,79.92831541218638,56,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
4,2024-12-15,10,42.63911169527959,28.61717520084547,15.189124527414425,73.11827956989248,75,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
5,2024-12-16,10,32.82935546449962,24.292643749184528,11.968350361979645,69.89247311827957,84,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
6,2024-12-17,10,29.775420931275736,21.164356617476667,9.929402457012076,52.32974910394266,133,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
7,2024-12-18,10,35.74867794996283,26.335533560461982,11.749212287492046,41.935483870967744,162,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
8,2024-12-19,10,34.48308999272105,25.2710254115733,12.049114861632273,61.29032258064516,108,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
9,2024-12-20,10,36.65991379060705,26.9427405389764,12.497091924708768,50.89605734767025,137,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
10,2024-12-21,10,40.23465206391641,31.902359823224995,12.284921054028654,19.35483870967742,225,0,279,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
11,2024-12-22,10,35.87280816986768,24.78282130947751,10.99403621491503,52.475247524752476,48,0,101,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
