lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2024-12-12,10,13.924688507328687,9.948269545534883,5.425150067844686,59.65909090909091,71,0,176,0.005,0.0001,0.1358502534534162,0.5,17.616177326843495,2.198997581963046
2,2024-12-13,10,19.25482359278954,14.347739017155641,7.162354941847128,60.35087719298245,113,0,285,0.005,0.0001,0.5,0.5,26.451181141570732,2.6198781151285617
3,2024-12-14,10,22.34091522741424,12.377699573837209,6.875254957462874,76.49122807017544,67,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
4,2024-12-15,10,27.579746738129632,14.659085321618413,7.930290861144744,69.12280701754386,88,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
5,2024-12-16,10,20.836937426722965,11.44377812781258,5.66454752867553,66.66666666666666,95,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
6,2024-12-17,10,20.831873588702667,10.564510365993,5.080066139583562,34.03508771929825,188,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
7,2024-12-18,10,23.73550592859929,13.210163907310537,5.998540689760111,37.19298245614035,179,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
8,2024-12-19,10,24.434361242039657,13.657871046150008,6.655277779084077,47.368421052631575,150,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
9,2024-12-20,10,25.078160292826635,13.343679192309981,6.207787600625168,41.05263157894737,168,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
10,2024-12-21,10,24.514105318485814,14.776283469849098,5.730598880501449,11.578947368421053,252,0,285,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
11,2024-12-22,10,16.28236327199306,10.684815789442663,4.7940919438929885,35.51401869158878,69,0,107,0.005,1e-06,0.5,0.42836317380557626,18.632221376321972,2.524773366553579
