lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-05-11,11,40.76886999900901,33.40485146074394,21.904870795007835,100.0,0,0,170,0.021478521326986896,5.696942669020923e-05,0.23926550303066857,0.40664492327711377,17.72528703235817,2.755839010138405
2,2025-05-12,11,50.40009603956445,35.932346290269486,21.22129611816689,88.04347826086956,33,0,276,0.005,0.0001,0.01,0.5,18.685415207823397,3.908140510111943
3,2025-05-13,11,35.87258688075842,22.68778684125264,15.433973914095098,85.86956521739131,39,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
4,2025-05-14,11,37.30305083848094,28.70737664184851,18.768060970370403,76.08695652173914,66,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
5,2025-05-15,11,22.436584630708005,17.76115903963921,13.149310061464888,95.65217391304348,12,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
6,2025-05-16,11,27.58397896850819,20.203113657762387,15.435049110825988,96.73913043478261,9,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
7,2025-05-17,11,36.15056949456948,26.41069013092399,19.368654357141544,87.31884057971014,34,1,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
8,2025-05-18,11,37.534113092423276,26.363700966486576,19.49468671699583,91.30434782608695,24,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
9,2025-05-19,11,38.930285838952415,24.967487874701536,18.646547365274788,84.42028985507247,36,7,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
10,2025-05-20,11,40.67420554018778,30.945094992690382,22.14297444016543,84.42028985507247,43,0,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
11,2025-05-21,11,50.08742988760169,33.901644715307775,21.43949410212608,85.14492753623189,38,3,276,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
