fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-02-26,10,13.510002566971112,9.011977156388902,6.32826217782242,77.34806629834254,41,0,181,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
2,2023-02-27,10,16.72460078789034,10.654195969768502,5.9920530363149,80.7017543859649,55,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
3,2023-02-28,10,15.8326321822409,9.815434300556928,6.107198144225749,83.85964912280703,46,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
4,2023-03-01,10,21.858932913410655,15.7428311133946,7.798388821818632,54.385964912280706,130,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
5,2023-03-02,10,16.521748386195423,11.159931373452261,6.071967105969575,75.78947368421053,69,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
6,2023-03-03,10,17.43853995726544,13.011011475847013,6.738136255989466,64.91228070175438,100,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
7,2023-03-04,10,21.8013782023034,14.755335284884769,8.410765998170824,77.54385964912281,64,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
8,2023-03-05,10,15.142050591127953,10.502321871889398,6.668262282523258,74.73684210526315,72,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
9,2023-03-06,10,17.1802979069603,11.085235499434651,6.454096876854113,74.73684210526315,72,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
10,2023-03-07,10,16.26857235381661,10.74949020307962,6.4700659045592985,85.6140350877193,41,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
11,2023-03-08,10,17.492763763004874,11.719340980523157,6.486128422671252,81.69934640522875,28,0,153,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
