PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,17.251956328289726,2.5350771584553367,11.655191384474527,2.0555989001655606,6.684120456992682,0.7534694788913325,75.57528313254157,8.968549741157766,11
30,27.146685503161653,3.9195684436368823,18.90613051068908,3.3350632788842582,10.730237802687267,1.1763923219529346,79.16157028086265,6.708043089612846,11
45,35.001447463143975,5.20562047009453,24.969321063958873,4.468520472135088,14.155546836071636,1.6977749623265261,82.54861983894241,7.831328406168444,11
60,42.33399471190424,6.849808364448359,30.62721157065412,5.818082803503379,17.386681908913804,2.390985641828119,84.55874467628766,7.912289220326002,11
