PH,fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
15,1,2023-02-26,10,13.510002566971112,9.011977156388902,6.32826217782242,77.34806629834254,41,0,181,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,2,2023-02-27,10,16.72460078789034,10.654195969768502,5.9920530363149,80.7017543859649,55,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,3,2023-02-28,10,15.8326321822409,9.815434300556928,6.107198144225749,83.85964912280703,46,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,4,2023-03-01,10,21.858932913410655,15.7428311133946,7.798388821818632,54.385964912280706,130,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,5,2023-03-02,10,16.521748386195423,11.159931373452261,6.071967105969575,75.78947368421053,69,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,6,2023-03-03,10,17.43853995726544,13.011011475847013,6.738136255989466,64.91228070175438,100,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,7,2023-03-04,10,21.8013782023034,14.755335284884769,8.410765998170824,77.54385964912281,64,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,8,2023-03-05,10,15.142050591127953,10.502321871889398,6.668262282523258,74.73684210526315,72,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,9,2023-03-06,10,17.1802979069603,11.085235499434651,6.454096876854113,74.73684210526315,72,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,10,2023-03-07,10,16.26857235381661,10.74949020307962,6.4700659045592985,85.6140350877193,41,0,285,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
15,11,2023-03-08,10,17.492763763004874,11.719340980523157,6.486128422671252,81.69934640522875,28,0,153,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,1,2023-02-26,10,20.62288355096508,14.080847413316821,9.73061141218202,83.14606741573034,30,0,178,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,2,2023-02-27,10,25.824002091299352,17.16211246876226,9.469891690657578,81.91489361702128,51,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,3,2023-02-28,10,25.07642691537278,16.1119933775224,10.050057911090342,86.87943262411348,37,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,4,2023-03-01,10,33.77619393013337,25.27512333385424,12.3941605343834,63.47517730496454,103,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,5,2023-03-02,10,26.647731997402424,18.50622103854038,9.995128118372886,80.1418439716312,56,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,6,2023-03-03,10,28.356501388608613,21.860436947646683,11.16691967732735,73.04964539007092,76,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,7,2023-03-04,10,33.93249319696048,23.409351582829256,13.284771721382317,80.1418439716312,56,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,8,2023-03-05,10,24.341680895388162,17.47041441359882,11.001335713264153,76.59574468085107,66,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,9,2023-03-06,10,27.730431801340277,18.268128566188178,10.476826766918194,76.24113475177306,67,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,10,2023-03-07,10,24.89973988643619,16.70390646358119,9.978491918068737,86.52482269503547,38,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
30,11,2023-03-08,10,27.40545488087144,19.118900011739704,10.484420365912953,82.66666666666667,26,0,150,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,1,2023-02-26,10,26.412444317207925,18.66496578307821,12.868116444350042,92.57142857142857,13,0,175,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,2,2023-02-27,10,33.22411067830939,22.2299062481553,12.09419048524177,82.07885304659499,50,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,3,2023-02-28,10,32.05627109514318,21.39486210901661,13.47424377943605,91.39784946236558,24,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,4,2023-03-01,10,43.6397651020421,32.988390073975545,16.33919012153957,65.59139784946237,96,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,5,2023-03-02,10,34.25083280557001,24.420010500768115,13.129257027773,83.15412186379928,47,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,6,2023-03-03,10,37.662364388307,29.62987089207254,15.038667940583927,73.11827956989248,75,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,7,2023-03-04,10,43.75614502430728,31.028383886387978,17.777219231751193,83.15412186379928,47,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,8,2023-03-05,10,31.78263224374279,23.47793317578116,14.740411212667178,79.92831541218638,56,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,9,2023-03-06,10,35.69653722550861,24.011096325184965,13.696586694661672,82.43727598566308,49,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,10,2023-03-07,10,31.074919945928254,21.335379573652183,12.711920292641512,88.88888888888889,31,0,279,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
45,11,2023-03-08,10,35.459899268517226,25.481733135474997,13.841211966142083,85.71428571428571,21,0,147,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,1,2023-02-26,10,32.16967442603224,23.38354654365434,16.190922011828164,94.18604651162791,10,0,172,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,2,2023-02-27,10,41.00911095454767,26.7193507353009,14.344190343540046,83.69565217391305,45,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,3,2023-02-28,10,38.52521924424979,26.441880952436712,16.806323502980902,93.47826086956522,18,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,4,2023-03-01,10,53.957625138535306,41.25520400092975,20.656792113758577,68.11594202898551,88,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,5,2023-03-02,10,40.04340937042355,29.146357475279927,15.666279058989401,85.5072463768116,40,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,6,2023-03-03,10,46.469640191866404,36.8800846159789,18.659716708549524,74.27536231884058,71,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,7,2023-03-04,10,54.16520562507851,38.58300205844821,22.228605540288314,84.78260869565217,42,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,8,2023-03-05,10,38.62020351091222,29.00382896794347,18.223623794366144,80.79710144927536,53,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,9,2023-03-06,10,41.57927288139512,28.680571098720367,16.415451351002936,85.14492753623189,41,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
60,10,2023-03-07,10,36.21203959549662,25.289840783559214,15.004674323320726,90.57971014492753,26,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
