fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-02-26,10,32.16967442603224,23.38354654365434,16.190922011828164,94.18604651162791,10,0,172,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
2,2023-02-27,10,41.00911095454767,26.7193507353009,14.344190343540046,83.69565217391305,45,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
3,2023-02-28,10,38.52521924424979,26.441880952436712,16.806323502980902,93.47826086956522,18,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
4,2023-03-01,10,53.957625138535306,41.25520400092975,20.656792113758577,68.11594202898551,88,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
5,2023-03-02,10,40.04340937042355,29.146357475279927,15.666279058989401,85.5072463768116,40,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
6,2023-03-03,10,46.469640191866404,36.8800846159789,18.659716708549524,74.27536231884058,71,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
7,2023-03-04,10,54.16520562507851,38.58300205844821,22.228605540288314,84.78260869565217,42,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
8,2023-03-05,10,38.62020351091222,29.00382896794347,18.223623794366144,80.79710144927536,53,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
9,2023-03-06,10,41.57927288139512,28.680571098720367,16.415451351002936,85.14492753623189,41,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
10,2023-03-07,10,36.21203959549662,25.289840783559214,15.004674323320726,90.57971014492753,26,0,276,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
11,2023-03-08,10,42.922540892409174,31.515660044943477,17.05692224942713,89.58333333333334,15,0,144,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
