fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-02-26,10,20.62288355096508,14.080847413316821,9.73061141218202,83.14606741573034,30,0,178,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
2,2023-02-27,10,25.824002091299352,17.16211246876226,9.469891690657578,81.91489361702128,51,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
3,2023-02-28,10,25.07642691537278,16.1119933775224,10.050057911090342,86.87943262411348,37,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
4,2023-03-01,10,33.77619393013337,25.27512333385424,12.3941605343834,63.47517730496454,103,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
5,2023-03-02,10,26.647731997402424,18.50622103854038,9.995128118372886,80.1418439716312,56,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
6,2023-03-03,10,28.356501388608613,21.860436947646683,11.16691967732735,73.04964539007092,76,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
7,2023-03-04,10,33.93249319696048,23.409351582829256,13.284771721382317,80.1418439716312,56,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
8,2023-03-05,10,24.341680895388162,17.47041441359882,11.001335713264153,76.59574468085107,66,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
9,2023-03-06,10,27.730431801340277,18.268128566188178,10.476826766918194,76.24113475177306,67,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
10,2023-03-07,10,24.89973988643619,16.70390646358119,9.978491918068737,86.52482269503547,38,0,282,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
11,2023-03-08,10,27.40545488087144,19.118900011739704,10.484420365912953,82.66666666666667,26,0,150,0.005,1e-06,0.01,0.5,40.249896710662526,2.994629447639594
