lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-08-17,10,16.616075648574764,11.523684214158367,11.763971703251238,100.0,0,0,145,0.05,5.5123422168604715e-05,0.01,0.38864335294629865,22.49329284266869,5.894999762686065
2,2020-08-18,10,29.2390507252951,22.188438914501937,22.62976870718316,84.94623655913979,9,33,279,0.005,0.0001,0.01,0.5,21.341846052279923,6.0
3,2020-08-19,10,29.368408897016984,22.09906425871791,18.036961792379998,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
4,2020-08-20,10,47.224482476979354,31.128323088471507,20.43247582359716,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
5,2020-08-21,10,21.76903239735715,16.794626824729054,14.66038615236876,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
6,2020-08-22,10,34.33086891515894,27.8270115683329,21.597160888196658,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
7,2020-08-23,10,42.26072665074029,32.830617815426514,24.32233795840194,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
8,2020-08-24,10,28.590128446492667,18.24690619326772,14.488540141792445,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
9,2020-08-25,10,43.3937456957108,28.734625664659024,19.985719734994404,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
10,2020-08-26,10,34.43857923083352,22.393490533531466,16.613159401630302,100.0,0,0,279,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
11,2020-08-27,10,47.28073184208225,27.61250262441042,17.803449887747888,100.0,0,0,138,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
