fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-02-07,12,9.885165233754408,7.72802356290638,5.394535513036807,95.26627218934911,8,0,169,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
2,2025-02-08,12,34.07912471997402,21.234848107596864,14.216072700737111,78.72340425531915,60,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
3,2025-02-09,12,20.818165809370285,12.782547965108412,8.650265445439755,85.46099290780141,41,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
4,2025-02-10,12,30.219565906479616,18.00220554611472,10.360306942726552,70.56737588652481,83,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
5,2025-02-11,12,24.94043093064851,14.057323930390986,9.881162947838295,83.68794326241135,46,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
6,2025-02-12,12,16.04538949402916,11.025815938556436,7.314862769882014,95.74468085106383,12,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
7,2025-02-13,12,23.152467005585244,13.454717040185129,8.214965226608474,88.29787234042553,33,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
8,2025-02-14,12,25.134414734065796,13.039503349460892,9.752258542430964,80.85106382978722,43,11,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
9,2025-02-15,12,35.555980235191576,19.850658357294314,10.915969524169663,70.2127659574468,84,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
10,2025-02-16,12,20.626917093893688,14.732255640038389,10.086250756193323,87.94326241134752,34,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
11,2025-02-17,12,34.8696082792438,22.056659155403427,14.230398769557997,80.49645390070921,55,0,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
12,2025-02-18,12,18.919808267323436,13.831897370298302,10.849568152673744,96.45390070921985,0,10,282,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
13,2025-02-19,12,10.500297671535492,8.8996951410218,7.4821957518009325,100.0,0,0,93,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
