fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-02-07,12,16.305326278882163,12.128403549549638,8.42481625673467,98.77300613496932,2,0,163,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
2,2025-02-08,12,36.986823011588,26.01728504546708,17.36161912852232,84.05797101449275,44,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
3,2025-02-09,12,29.557169226604703,19.24065541285865,12.844193013997316,86.59420289855072,37,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
4,2025-02-10,12,37.15803777855315,25.654171047398204,14.456192557363945,78.98550724637681,58,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
5,2025-02-11,12,27.304834217132697,18.91697514893503,12.818743196884713,88.04347826086956,33,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
6,2025-02-12,12,23.653474790990884,16.88429882479611,11.107671587194389,97.82608695652173,6,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
7,2025-02-13,12,33.89132126932899,19.569634409854846,11.658538051986923,89.13043478260869,30,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
8,2025-02-14,12,29.31182048191339,17.747047566270588,13.77204687802101,82.2463768115942,40,9,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
9,2025-02-15,12,44.481470266134465,29.264747913660983,15.791737101511059,72.82608695652173,75,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
10,2025-02-16,12,27.449771257389997,21.169113756631937,14.88814093106135,94.92753623188406,14,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
11,2025-02-17,12,44.621239161503254,31.597044653361372,19.85319465246591,83.69565217391305,45,0,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
12,2025-02-18,12,29.389434149242074,21.358438827889007,16.359905647928763,98.91304347826086,0,3,276,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
13,2025-02-19,12,14.312071458988424,11.626889616325583,9.581130208314217,100.0,0,0,87,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
