PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,17.00265944172563,6.330094461724524,9.50164667233622,2.6479114418284584,6.423925205701765,1.4990947588263206,84.84292125662994,9.494804925236814,13
30,23.442102721622692,8.577395937682489,14.668934700336619,4.464208287800532,9.796062541776585,2.5277151547317764,85.66969142318506,9.559170868022631,13
45,26.59974945333031,8.602984697789969,17.95070286897822,5.316131500213628,11.901278797834816,2.898400987179315,87.37015888201275,9.055683094939653,13
60,30.340214872942475,9.246297168630903,20.859592751769153,5.992356334780445,13.762917631691277,3.1865127280492844,88.92456791896642,8.633839066012843,13
