fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-02-07,12,13.151963940846723,9.912874679715788,6.902460829826573,96.3855421686747,6,0,166,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
2,2025-02-08,12,34.580130604330485,24.042753530426836,16.073283303925546,82.43727598566308,49,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
3,2025-02-09,12,24.08230873696679,15.850968037500849,10.69946220063549,86.02150537634408,39,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
4,2025-02-10,12,33.45025950505978,22.115912523963683,12.52959390917609,74.91039426523297,70,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
5,2025-02-11,12,26.087507661030614,16.714755573634434,11.400218564356473,85.66308243727599,40,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
6,2025-02-12,12,19.763813886316118,13.925828599096828,9.228012990924377,97.84946236559139,6,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
7,2025-02-13,12,28.06853138055899,16.726098819915745,10.077573283626373,88.88888888888889,31,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
8,2025-02-14,12,26.16345445216481,15.524359382841306,11.922462941926941,81.36200716845879,41,11,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
9,2025-02-15,12,39.48293904581885,24.821945124289336,13.471727010691412,70.96774193548387,81,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
10,2025-02-16,12,23.80451952259499,17.993198196962684,12.515160723958582,90.68100358422939,26,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
11,2025-02-17,12,39.670603071765065,27.261654199961164,17.214868701586354,82.79569892473118,48,0,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
12,2025-02-18,12,24.786032149340485,18.043066183832682,14.000466323588007,97.84946236559139,0,6,279,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
13,2025-02-19,12,12.704678936500308,10.425722444575515,8.681333587630416,100.0,0,0,90,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
