lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2022-03-29,12,15.115088404550205,13.421258231835104,18.116581864454453,79.75460122699386,0,33,163,0.005,1e-06,0.5,0.5,17.176210257844588,2.0
2,2022-03-30,12,23.922741623455295,15.549766388112221,14.257938433374386,68.79432624113475,11,77,282,0.005,0.0001,0.5,0.5,34.36987065895608,2.0
3,2022-03-31,12,26.297700766456398,18.656934569683965,14.986487553193168,98.22695035460993,5,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
4,2022-04-01,12,40.46503537455324,27.835352429630472,17.817196369356118,86.52482269503547,9,29,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
5,2022-04-02,12,33.03521051462788,22.250840736169252,15.09087739048694,97.16312056737588,8,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
6,2022-04-03,12,36.07297891154603,22.698314282126834,15.446891043529263,96.45390070921985,10,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
7,2022-04-04,12,39.87970660289385,20.95815281867202,14.02439329238927,94.32624113475178,16,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
8,2022-04-05,12,53.290622863048014,22.579833369945817,20.242589477201484,96.45390070921985,10,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
9,2022-04-06,12,26.00062147300209,14.771573925843835,11.373418306229041,98.58156028368793,4,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
10,2022-04-07,12,31.418429522833257,15.927023262771932,14.579181287369233,93.97163120567376,7,10,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
11,2022-04-08,12,39.580227011538085,22.617391909145685,24.04820134163694,65.95744680851064,5,91,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
12,2022-04-09,12,24.9933243012129,18.734336633591067,15.047897778875798,100.0,0,0,282,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
13,2022-04-10,12,11.444771453643707,8.208912771944288,8.027322739413774,100.0,0,0,81,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
