PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,23.778860501782592,10.197216423232694,12.546856863698672,3.366405878379599,10.568299347827754,2.5150344245188943,86.86844544168576,11.403140044456588,13
30,30.885881447950844,11.316734476244582,18.785360871497883,5.151296034817035,15.619921298269988,3.9334967553660984,90.47757707201646,11.733985716346057,13
45,33.13668679247273,10.181096291180607,22.022398551602404,6.035033657959504,18.386803990335995,4.8063045101385,93.89819409980699,9.265981186804172,13
60,35.330991237909785,10.468518939952078,24.395736556301642,6.951907888780548,20.51213119535104,5.747674265712336,95.17304674463357,8.425872550052325,13
