fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-11-28,13,9.4761874495925,7.864616987644237,8.984861343619876,100.0,0,0,183,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
2,2023-11-29,13,20.54388031161952,16.840433682658144,14.225558703023761,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
3,2023-11-30,13,17.36869972529244,14.7153577732477,12.58732488026309,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
4,2023-12-01,13,23.02992713631705,18.014055531323663,14.300137277743216,98.9247311827957,3,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
5,2023-12-02,13,20.85861628882078,17.789770139971377,14.45625811132901,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
6,2023-12-03,13,19.20048808384055,13.825249950998096,11.791108825835133,96.7741935483871,9,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
7,2023-12-04,13,22.177405287504378,17.265616904015257,13.89268347876259,97.1326164874552,8,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
8,2023-12-05,13,17.850000286291305,15.3682593708919,13.268251835758837,97.84946236559139,6,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
9,2023-12-06,13,19.356562630862985,15.854310864375066,13.55013495838947,98.9247311827957,3,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
10,2023-12-07,13,21.42175366988326,16.39788595916923,13.120868980608167,94.6236559139785,15,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
11,2023-12-08,13,23.75559920202601,19.783980110718765,15.387150131120562,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
12,2023-12-09,13,24.39662870365463,19.24176639197682,15.209455321895234,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
13,2023-12-10,13,33.22708253403106,28.384698846557825,20.412793852630323,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
14,2023-12-11,13,16.19429708244657,15.421557569056084,13.666116483107157,100.0,0,0,91,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
