fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2023-11-28,13,8.346440027727464,6.784769415874452,7.626951648593126,100.0,0,0,186,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
2,2023-11-29,13,17.648647785900742,14.5000563399139,12.170545844793375,98.93617021276596,3,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
3,2023-11-30,13,14.892722217260655,12.557282096147379,10.707625810071447,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
4,2023-12-01,13,20.481274027795315,16.271998176880576,12.936971436993597,98.58156028368793,4,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
5,2023-12-02,13,17.948108739510886,15.306373568740224,12.462391935424257,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
6,2023-12-03,13,17.288303052146873,12.044651924729196,10.34111679863781,97.87234042553192,6,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
7,2023-12-04,13,20.097847658865568,15.154348933771994,12.123906127496719,97.87234042553192,6,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
8,2023-12-05,13,16.41141215057707,13.394288307459147,11.456658606748729,98.22695035460993,5,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
9,2023-12-06,13,16.80036207604929,13.768694930713664,11.654415304875059,98.22695035460993,5,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
10,2023-12-07,13,19.578642189266397,14.381807301323086,11.389512115123532,95.74468085106383,12,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
11,2023-12-08,13,19.77183131756478,16.421739676750313,12.789222705366718,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
12,2023-12-09,13,20.056594151452792,15.87901627313885,12.650242003290016,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
13,2023-12-10,13,27.48013725698493,23.73317460655843,17.286406659746586,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
14,2023-12-11,13,13.533818876471804,12.868209158656413,11.390420448637032,100.0,0,0,94,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
