PH,fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
15,1,2023-11-28,13,6.135727721105898,4.7532456860264,5.284991338811917,100.0,0,0,189,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,2,2023-11-29,13,12.350727936945056,9.954419097824054,8.362919786161118,98.59649122807016,2,2,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,3,2023-11-30,13,10.090057666430305,8.299386184499648,7.062382311974619,100.0,0,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,4,2023-12-01,13,14.917144553188512,11.449107694978927,9.188839065061877,98.94736842105263,3,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,5,2023-12-02,13,12.148361710182758,10.171220071092538,8.318587190097853,100.0,0,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,6,2023-12-03,13,13.362525531676177,8.597532581161408,7.413231982524919,98.59649122807016,4,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,7,2023-12-04,13,15.535696677771872,10.591407414760733,8.44607746828148,98.24561403508771,5,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,8,2023-12-05,13,12.634168130179209,9.137613158151295,7.783185416403027,98.59649122807016,4,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,9,2023-12-06,13,11.723989237409397,9.229952352455584,7.778569950274969,98.94736842105263,3,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,10,2023-12-07,13,15.30705383360676,10.073361071727222,7.934754191482776,96.84210526315789,9,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,11,2023-12-08,13,12.97810086819474,10.647203910242869,8.281110622219645,99.29824561403508,2,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,12,2023-12-09,13,12.745223553589131,9.936033192229583,7.985891704552585,100.0,0,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,13,2023-12-10,13,17.680142256947285,15.210829267598717,11.24466806117521,100.0,0,0,285,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
15,14,2023-12-11,13,8.600750679566525,8.077151658190767,7.139489337372752,100.0,0,0,97,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,1,2023-11-28,13,8.346440027727464,6.784769415874452,7.626951648593126,100.0,0,0,186,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,2,2023-11-29,13,17.648647785900742,14.5000563399139,12.170545844793375,98.93617021276596,3,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,3,2023-11-30,13,14.892722217260655,12.557282096147379,10.707625810071447,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,4,2023-12-01,13,20.481274027795315,16.271998176880576,12.936971436993597,98.58156028368793,4,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,5,2023-12-02,13,17.948108739510886,15.306373568740224,12.462391935424257,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,6,2023-12-03,13,17.288303052146873,12.044651924729196,10.34111679863781,97.87234042553192,6,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,7,2023-12-04,13,20.097847658865568,15.154348933771994,12.123906127496719,97.87234042553192,6,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,8,2023-12-05,13,16.41141215057707,13.394288307459147,11.456658606748729,98.22695035460993,5,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,9,2023-12-06,13,16.80036207604929,13.768694930713664,11.654415304875059,98.22695035460993,5,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,10,2023-12-07,13,19.578642189266397,14.381807301323086,11.389512115123532,95.74468085106383,12,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,11,2023-12-08,13,19.77183131756478,16.421739676750313,12.789222705366718,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,12,2023-12-09,13,20.056594151452792,15.87901627313885,12.650242003290016,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,13,2023-12-10,13,27.48013725698493,23.73317460655843,17.286406659746586,100.0,0,0,282,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
30,14,2023-12-11,13,13.533818876471804,12.868209158656413,11.390420448637032,100.0,0,0,94,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,1,2023-11-28,13,9.4761874495925,7.864616987644237,8.984861343619876,100.0,0,0,183,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,2,2023-11-29,13,20.54388031161952,16.840433682658144,14.225558703023761,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,3,2023-11-30,13,17.36869972529244,14.7153577732477,12.58732488026309,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,4,2023-12-01,13,23.02992713631705,18.014055531323663,14.300137277743216,98.9247311827957,3,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,5,2023-12-02,13,20.85861628882078,17.789770139971377,14.45625811132901,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,6,2023-12-03,13,19.20048808384055,13.825249950998096,11.791108825835133,96.7741935483871,9,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,7,2023-12-04,13,22.177405287504378,17.265616904015257,13.89268347876259,97.1326164874552,8,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,8,2023-12-05,13,17.850000286291305,15.3682593708919,13.268251835758837,97.84946236559139,6,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,9,2023-12-06,13,19.356562630862985,15.854310864375066,13.55013495838947,98.9247311827957,3,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,10,2023-12-07,13,21.42175366988326,16.39788595916923,13.120868980608167,94.6236559139785,15,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,11,2023-12-08,13,23.75559920202601,19.783980110718765,15.387150131120562,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,12,2023-12-09,13,24.39662870365463,19.24176639197682,15.209455321895234,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,13,2023-12-10,13,33.22708253403106,28.384698846557825,20.412793852630323,100.0,0,0,279,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
45,14,2023-12-11,13,16.19429708244657,15.421557569056084,13.666116483107157,100.0,0,0,91,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,1,2023-11-28,13,10.197617599012098,8.523907924284941,9.880312618352447,100.0,0,0,180,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,2,2023-11-29,13,23.503978165631807,19.29706903840017,16.132242466587815,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,3,2023-11-30,13,19.87138628971493,16.70930514314375,14.1727372247517,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,4,2023-12-01,13,24.6912289346098,18.993976703288155,15.003759023767616,99.63768115942028,1,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,5,2023-12-02,13,22.881558869677207,19.45156685370826,15.733287475825128,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,6,2023-12-03,13,20.36585685759782,15.029793503055197,12.700879809689859,97.82608695652173,6,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,7,2023-12-04,13,25.380675881022395,19.02049761762542,15.120915618843725,97.46376811594203,7,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,8,2023-12-05,13,19.470994585922988,16.401481418865803,14.142789234990923,98.91304347826086,3,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,9,2023-12-06,13,22.176535187414622,17.699799954784936,14.89417195545657,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,10,2023-12-07,13,24.4942509021819,18.471501111879373,14.680771870966172,97.46376811594203,7,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,11,2023-12-08,13,27.007611617082347,22.329622458875683,17.2021753650614,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,12,2023-12-09,13,26.91534570510812,21.051912179953437,16.52483031414265,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,13,2023-12-10,13,36.64524619560011,31.110324203126257,22.210532008032672,100.0,0,0,276,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
60,14,2023-12-11,13,17.620211776025137,16.761167988923994,14.844287548672124,100.0,0,0,88,0.021601373537139472,7.778115686182208e-05,0.14780191078244054,0.2256175257398647,39.62217447228681,2.2282206791293957
