PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,12.58640502548526,2.9480327892450235,9.72346166720998,2.260241526725231,8.016049887599625,1.2974676453656029,99.14786967418547,0.9406397295827921,14
30,17.881152966255325,4.274095365983606,14.504743622189833,3.6036962036049465,11.927599103271286,2.052375062994096,98.96149949341438,1.2858388609867397,14
45,20.632652028013073,5.2447522567874465,16.91196857732887,4.38186866624633,13.918050298863317,2.456172287281194,98.87352790578596,1.6803126556935317,14
60,22.944464183328666,5.891787976402783,18.632280435708243,4.84251269608535,15.231692323938631,2.6790198310386963,99.37888198757764,1.0191461542141207,14
