PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,14.5257006157547,3.439924263668467,8.631160963583401,2.208309826474046,7.138566120330771,2.124613152956243,95.77313774894652,3.674617035433459,11
30,21.858261776481296,4.454134669198464,13.190135202708818,3.101131710989279,10.836179029738139,2.7638149123881113,96.58442224001828,3.290240260307262,11
45,26.9085524303808,5.596361371492655,16.512200961856543,3.900318777924287,13.56568556738,3.2500921573450645,97.89852517594498,1.9487107530878214,11
60,30.457340405313367,6.840330761180541,19.160854830357128,4.889759212141251,15.758286697428042,4.074026354566596,98.9456195977935,1.639937055048577,11
