lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-03-11,10,26.08328407762595,18.506036270923364,19.827736165981314,95.90643274853801,2,5,171,0.02125213069442384,5.5035089007560204e-05,0.23184514196811964,0.41395908173585927,17.805189336670654,2.7670163107536143
2,2020-03-12,10,32.752441497178374,19.26396940915587,15.401234056633658,96.7741935483871,9,0,279,0.017720184865813657,4.850736446274713e-05,0.04068710049717097,0.35391846276575084,59.98067358464473,2.231223180521331
3,2020-03-13,10,25.929288912427705,16.65111691699691,13.087767347195225,99.27536231884058,2,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
4,2020-03-14,10,36.96378833703982,23.58310548448144,16.878140907360205,93.9068100358423,17,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
5,2020-03-15,10,17.532654148133368,10.850479843196796,9.136621694883498,100.0,0,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
6,2020-03-16,10,23.53589374405963,13.347348979693027,11.118497408223929,99.2831541218638,2,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
7,2020-03-17,10,32.97942836497768,21.63916388908285,16.766680453003197,96.7741935483871,9,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
8,2020-03-18,10,21.251664381036665,12.486652690164364,10.405671186509794,100.0,0,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
9,2020-03-19,10,26.591917161648396,14.955969127499161,11.684608453170341,97.1326164874552,8,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
10,2020-03-20,10,24.314210613262613,15.152597485447313,12.365585617601376,98.56630824372759,4,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
11,2020-03-21,10,28.05950549679862,15.197770483780898,12.549997950617447,99.26470588235294,1,0,136,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
