lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-03-11,10,25.47369103311366,16.755895972246847,16.977859697765794,89.08045977011494,4,15,174,0.02125213069442384,5.5035089007560204e-05,0.23184514196811964,0.41395908173585927,17.805189336670654,2.7670163107536143
2,2020-03-12,10,27.8552798999433,16.07941450871825,12.775507051979055,96.09929078014184,7,4,282,0.017720184865813657,4.850736446274713e-05,0.04068710049717097,0.35391846276575084,59.98067358464473,2.231223180521331
3,2020-03-13,10,20.25511304495257,12.969769616101733,10.345110458533222,98.56630824372759,4,0,279,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
4,2020-03-14,10,28.016676345623342,17.917448573531264,12.834503513806755,92.19858156028369,22,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
5,2020-03-15,10,13.960127015831668,8.555323666958468,7.22294872589841,100.0,0,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
6,2020-03-16,10,18.560140205656808,10.476315012969032,8.785631971199056,98.58156028368793,4,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
7,2020-03-17,10,25.175265375038016,16.29728365481999,12.629626640021035,96.45390070921985,10,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
8,2020-03-18,10,17.482597611115928,10.091919256207897,8.419541925218676,100.0,0,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
9,2020-03-19,10,21.11194986593615,11.659434060756393,9.103168590917528,96.80851063829788,9,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
10,2020-03-20,10,19.822946431706015,11.94245689253659,9.80587324047748,97.51773049645391,7,0,282,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
11,2020-03-21,10,22.727092712376784,12.34622601495053,10.298197511302504,97.12230215827337,4,0,139,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
