PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,13.202972410489492,6.886595420405633,9.630760261570646,5.664570718388288,6.894506143205069,3.992939436980488,97.48025948865471,3.4408131572550906,11
30,19.26083604366287,8.817904793204065,14.505736935573294,7.66542563748074,10.302889113864746,5.30535128124879,98.03191489361701,2.9517416100104317,11
45,23.26122840727807,8.917670160039748,17.740328339367814,7.939264983329645,12.58425124095943,5.45964375485569,99.21798631476052,1.5608336023943037,11
60,26.53357262232337,8.772169277256321,20.54959971709823,8.000323972463633,14.54020185821782,5.448431625149576,99.27536231884059,1.5876016159570023,11
