lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-07-25,10,39.79236441174313,32.73221974594982,21.7748875457994,100.0,0,0,154,0.021494632341973626,5.43931345394675e-05,0.2306738550320528,0.4132244066090003,17.812900411098937,2.763868404126719
2,2025-07-26,10,45.89151423571539,39.357416767751154,27.820861060468456,100.0,0,0,276,0.0428330420387759,8.522890358692892e-05,0.14822514500739117,0.29288526279794785,17.797599151803716,2.588009922443086
3,2025-07-27,10,23.608067706393182,17.396095050571084,12.311981365287842,99.27536231884058,2,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
4,2025-07-28,10,27.18713306245098,19.133091208297515,14.055613728067046,97.82608695652173,6,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
5,2025-07-29,10,20.484417231626917,15.035497246887282,9.622337177622976,94.92753623188406,14,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
6,2025-07-30,10,17.61595909714763,13.779180707693255,9.907618732459534,100.0,0,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
7,2025-07-31,10,26.338638536759362,18.603785240026454,12.949095685191022,100.0,0,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
8,2025-08-01,10,26.51305604536233,19.670955368682527,14.21888274208077,100.0,0,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
9,2025-08-02,10,18.91684819088788,15.524243985517387,11.582695022295688,100.0,0,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
10,2025-08-03,10,24.678910290697363,17.6680663713872,12.540682456963124,100.0,0,0,276,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
11,2025-08-04,10,20.84239003677287,17.14504519531685,13.157564924160193,100.0,0,0,134,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
