lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-07-25,10,22.33419729053102,15.806748943889245,10.687979817225179,97.54601226993866,4,0,163,0.021494632341973626,5.43931345394675e-05,0.2306738550320528,0.4132244066090003,17.812900411098937,2.763868404126719
2,2025-07-26,10,30.3938648213714,24.746421581674582,17.787862310485522,98.94736842105263,3,0,285,0.0428330420387759,8.522890358692892e-05,0.14822514500739117,0.29288526279794785,17.797599151803716,2.588009922443086
3,2025-07-27,10,10.344981104174437,7.565185429688864,5.507359929840778,97.19298245614036,8,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
4,2025-07-28,10,12.980637463347813,8.492385377752491,6.177165702149274,93.33333333333333,19,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
5,2025-07-29,10,9.87452230695838,6.804982340555403,4.4096223147472875,89.12280701754386,31,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
6,2025-07-30,10,9.086694195636982,6.547432938531668,4.748828057605828,100.0,0,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
7,2025-07-31,10,10.712050364469242,7.361218792190025,5.221721244951537,96.84210526315789,9,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
8,2025-08-01,10,11.870693599395208,8.157385763673965,5.933616982847991,100.0,0,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
9,2025-08-02,10,8.468415641259178,6.659137502317418,5.032672186240985,100.0,0,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
10,2025-08-03,10,10.702825379487575,7.136416197767167,5.196477367751754,99.29824561403508,2,0,285,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
11,2025-08-04,10,8.463814348753168,6.661048009236283,5.136261661409617,100.0,0,0,143,0.005,5.01480035441683e-05,0.5,0.5,30.69346246297913,2.0
