PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,13.743842130114917,2.9298361931399977,9.805301813873054,2.0784737487610645,7.811992194527433,1.1854267493482609,96.95375653980028,3.6436298043215714,11
30,20.40535226938741,4.557928510459091,14.809449322526245,3.2407122255728003,11.685830261847288,1.8385795667230849,98.37319746505008,1.6130065739903985,11
45,23.866863418456543,5.578989573889926,17.485287405082474,3.981140963433016,13.70622933248863,2.2335524418829826,99.02248289345063,1.7711382337357837,11
60,26.9138145886894,6.8403922996915725,19.481431854283617,4.859352449469861,15.059086231468386,2.656952287592243,99.1106719367589,1.5988374363779343,11
