PH,fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
15,1,2022-01-25,10,7.93253447505028,6.040338365386435,5.947798559439137,97.75280898876404,0,4,178,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,2,2022-01-26,10,16.17367827865072,11.15883566251598,8.920861825236868,95.08771929824562,14,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,3,2022-01-27,10,13.531373577280496,9.042272115236914,6.9999998989358385,98.94736842105263,3,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,4,2022-01-28,10,19.006419666288636,13.637359470149127,9.300439475270347,87.71929824561403,35,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,5,2022-01-29,10,14.070561104988537,9.960297269478353,7.970784035900345,99.29824561403508,2,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,6,2022-01-30,10,13.557620867484218,10.378434264420045,8.246997032574214,100.0,0,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,7,2022-01-31,10,16.340795441391624,12.282216018873415,9.844144008607843,98.24561403508771,5,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,8,2022-02-01,10,13.025147729318224,9.17441905862159,7.501026010442128,97.19298245614036,8,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,9,2022-02-02,10,11.477935632071862,7.970793580296608,6.611479420529892,100.0,0,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,10,2022-02-03,10,11.471468082280524,8.515300521961706,7.129117617084716,98.59649122807016,4,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
15,11,2022-02-04,10,14.594728576458953,9.698053625663428,7.4592662557804434,93.65079365079364,8,0,126,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,1,2022-01-25,10,11.075252180441264,8.59649053025411,8.487922119263983,100.0,0,0,175,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,2,2022-01-26,10,23.61876606137927,16.714168164866216,13.241787118330253,96.80851063829788,9,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,3,2022-01-27,10,20.023293449356842,13.763600961626405,10.626576277211065,100.0,0,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,4,2022-01-28,10,28.60040293107209,20.47957441977514,13.867300258572229,95.74468085106383,12,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,5,2022-01-29,10,20.671012399378785,15.237128189448207,12.13705036147634,98.22695035460993,5,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,6,2022-01-30,10,20.58086238365412,15.98472589935875,12.49280195742489,100.0,0,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,7,2022-01-31,10,24.247765257872803,18.509204036374523,14.719391545884719,98.58156028368793,4,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,8,2022-02-01,10,19.418231621908703,13.68097404381796,11.05933218132873,98.22695035460993,5,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,9,2022-02-02,10,17.29928363453949,12.102886190164636,9.914483879605909,100.0,0,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,10,2022-02-03,10,16.65147773113247,12.484571790851907,10.388965493528534,98.58156028368793,4,0,282,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
30,11,2022-02-04,10,22.27252731252572,15.350618321250838,11.608521687693516,95.9349593495935,5,0,123,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,1,2022-01-25,10,12.296734981418583,9.781045274702826,9.82932607078663,100.0,0,0,172,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,2,2022-01-26,10,27.15422465843541,19.580461931633657,15.296663194316304,96.7741935483871,9,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,3,2022-01-27,10,23.259003544873714,16.404289573110617,12.63817619708923,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,4,2022-01-28,10,33.79433323000748,24.24474270778986,16.457155870539207,94.98207885304659,14,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,5,2022-01-29,10,23.536555117394595,17.723149616668977,14.066829175146653,97.4910394265233,7,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,6,2022-01-30,10,24.480853287996595,19.14645526630778,14.746807664648697,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,7,2022-01-31,10,28.41707353587771,21.831632087383714,17.27879432419441,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,8,2022-02-01,10,22.911220998471656,15.985433425952298,12.731803958686946,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,9,2022-02-02,10,20.371875326184924,14.28161539016994,11.592702754446725,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,10,2022-02-03,10,19.13652296478515,14.19239570786305,11.760370405682616,100.0,0,0,279,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
45,11,2022-02-04,10,27.177099957576154,19.166940474324498,14.369893041837544,100.0,0,0,120,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,1,2022-01-25,10,12.853024042269103,10.312162279667774,10.62842850494095,100.0,0,0,169,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,2,2022-01-26,10,30.632614071931084,21.189024443816493,16.076517999530598,96.73913043478261,9,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,3,2022-01-27,10,25.74105067877999,18.59910366050722,14.235967973540209,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,4,2022-01-28,10,38.68624134110647,28.12517736832972,18.896297273300082,95.65217391304348,12,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,5,2022-01-29,10,25.001123392508827,18.796885252041076,14.868714850936795,97.82608695652173,6,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,6,2022-01-30,10,27.487697998810788,21.266108990101447,16.13247656828031,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,7,2022-01-31,10,31.93605604079251,24.514903199378512,19.18517099721375,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,8,2022-02-01,10,26.35247651111063,17.76443866799901,13.862130160290501,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,9,2022-02-02,10,22.27410040256591,15.408918808525298,12.362315354395028,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,10,2022-02-03,10,21.862127114882455,15.629737316783615,12.783728918322081,100.0,0,0,276,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
60,11,2022-02-04,10,33.22544888082564,22.689290409969654,16.618199945401912,100.0,0,0,117,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
