fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2022-01-25,10,7.93253447505028,6.040338365386435,5.947798559439137,97.75280898876404,0,4,178,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
2,2022-01-26,10,16.17367827865072,11.15883566251598,8.920861825236868,95.08771929824562,14,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
3,2022-01-27,10,13.531373577280496,9.042272115236914,6.9999998989358385,98.94736842105263,3,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
4,2022-01-28,10,19.006419666288636,13.637359470149127,9.300439475270347,87.71929824561403,35,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
5,2022-01-29,10,14.070561104988537,9.960297269478353,7.970784035900345,99.29824561403508,2,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
6,2022-01-30,10,13.557620867484218,10.378434264420045,8.246997032574214,100.0,0,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
7,2022-01-31,10,16.340795441391624,12.282216018873415,9.844144008607843,98.24561403508771,5,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
8,2022-02-01,10,13.025147729318224,9.17441905862159,7.501026010442128,97.19298245614036,8,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
9,2022-02-02,10,11.477935632071862,7.970793580296608,6.611479420529892,100.0,0,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
10,2022-02-03,10,11.471468082280524,8.515300521961706,7.129117617084716,98.59649122807016,4,0,285,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
11,2022-02-04,10,14.594728576458953,9.698053625663428,7.4592662557804434,93.65079365079364,8,0,126,0.02119809699365696,9.984153286095e-05,0.010032976519091793,0.13235235049979607,39.16054690320611,3.2494999653726078
