lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-10-30,11,33.550962642638375,28.597977622778277,19.50721117583368,100.0,0,0,180,0.05,1e-06,0.01,0.3238010238730269,18.661236757250926,3.161365347986158
2,2025-10-31,11,16.293109628858257,11.268908505455478,7.303704249942368,87.36842105263159,36,0,285,0.005,1.4007533726654517e-05,0.01,0.5,21.99482669799336,2.0
3,2025-11-01,11,33.975974883407304,15.18090892167187,9.59838148334162,75.08771929824562,71,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
4,2025-11-02,11,19.604295810103977,12.870770173654932,7.654558080601322,68.42105263157895,90,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
5,2025-11-03,11,15.053717306130642,10.262220172412485,6.166075377408708,72.63157894736842,78,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
6,2025-11-04,11,17.222092305910287,10.077956928537748,5.941873573037327,79.2982456140351,59,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
7,2025-11-05,11,18.932715698882163,10.159286102798104,5.394677306372821,64.56140350877193,101,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
8,2025-11-06,11,12.842849389769908,9.456070680425272,6.141508249717616,94.03508771929825,17,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
9,2025-11-07,11,18.124194951447596,12.052226308457204,7.059531535835024,73.68421052631578,75,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
10,2025-11-08,11,11.643494893262803,8.674492773286962,5.24219216488527,79.2982456140351,59,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
11,2025-11-09,11,12.595574027993385,9.064474249977346,5.906230563586055,88.42105263157895,33,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
12,2025-11-10,11,6.897242901189418,6.109564141136651,4.643991240882659,100.0,0,0,73,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
