lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-10-30,11,52.635540828582556,44.55442760132101,29.98479516283491,100.0,0,0,171,0.05,1e-06,0.01,0.3238010238730269,18.661236757250926,3.161365347986158
2,2025-10-31,11,40.2423439585078,27.14185909931008,16.588430077441263,90.94202898550725,25,0,276,0.005,1.4007533726654517e-05,0.01,0.5,21.99482669799336,2.0
3,2025-11-01,11,45.00681264714161,29.282779717223182,17.37600982465315,78.62318840579711,59,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
4,2025-11-02,11,32.55972019905806,25.827618632883592,15.115507715024085,80.79710144927536,53,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
5,2025-11-03,11,33.85020317608492,24.573478037606314,14.144683947375517,87.68115942028986,34,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
6,2025-11-04,11,30.52873591130861,23.10318295043809,13.318012369124919,87.31884057971014,35,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
7,2025-11-05,11,32.27530652611212,20.93932823748026,10.738517222898365,80.07246376811594,55,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
8,2025-11-06,11,29.193176798358675,21.793071470060827,13.797946800897732,94.92753623188406,14,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
9,2025-11-07,11,34.341687316236666,23.712834011008702,13.467498489856148,85.5072463768116,40,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
10,2025-11-08,11,27.526677518220836,21.459515106856465,12.712188847789339,98.55072463768117,4,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
11,2025-11-09,11,33.29370993565004,24.437615061288458,15.232589863912674,91.30434782608695,24,0,276,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
12,2025-11-10,11,15.915220729927745,13.861985363985097,10.336645657180835,100.0,0,0,64,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
