lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-05-01,10,36.29233417521176,32.77481984553953,19.99154357442468,100.0,0,0,180,0.02096853264481099,5.349772939447281e-05,0.22546370272708893,0.42067873449089466,17.850374808945965,2.778318804321161
2,2025-05-02,10,23.56217016329593,17.35866721183943,11.125306294257776,76.34408602150538,66,0,279,0.005,0.0001,0.16565965487596768,0.5,17.095849762530563,3.020391744860988
3,2025-05-03,10,29.55606694499566,21.213933707357725,13.339134734377211,71.68458781362007,79,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
4,2025-05-04,10,28.554507152676614,18.70870708902582,12.184121439747683,71.98581560283688,79,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
5,2025-05-05,10,37.59320027321095,23.855227218460207,11.446453828735265,58.86524822695035,116,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
6,2025-05-06,10,28.040283728758425,20.983592032740173,9.95556463325425,44.32624113475177,157,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
7,2025-05-07,10,31.39246485299978,23.714687075560608,10.110453146883549,25.177304964539005,211,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
8,2025-05-08,10,24.906649867543912,17.324367840830295,10.97474122456338,72.69503546099291,77,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
9,2025-05-09,10,25.867092251645683,17.14706540206347,10.725635719391962,76.95035460992908,65,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
10,2025-05-10,10,15.71094288989722,12.025911557312465,8.053333672708856,94.68085106382979,15,0,282,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
11,2025-05-11,10,33.75886345834069,21.32007680637703,11.695200837172415,82.46753246753246,27,0,154,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
