lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-05-01,10,50.432514846122345,46.260617968737925,28.65350338328785,100.0,0,0,174,0.02096853264481099,5.349772939447281e-05,0.22546370272708893,0.42067873449089466,17.850374808945965,2.778318804321161
2,2025-05-02,10,37.097858157932606,27.779623138958133,17.597518144821194,79.48717948717949,56,0,273,0.005,0.0001,0.16565965487596768,0.5,17.095849762530563,3.020391744860988
3,2025-05-03,10,43.72875090851325,31.853689493416077,18.151159411044627,74.35897435897436,70,0,273,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
4,2025-05-04,10,44.437964586640675,29.508887082725433,19.35733039873171,81.52173913043478,51,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
5,2025-05-05,10,50.24604509680471,35.17333672007865,16.690240954310678,64.13043478260869,99,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
6,2025-05-06,10,42.26773556234874,32.84141306068924,15.41026348214181,52.17391304347826,132,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
7,2025-05-07,10,48.46093744273853,36.766238310062974,15.32802299872,32.608695652173914,186,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
8,2025-05-08,10,34.98022736934576,24.663358053917904,15.720447040629363,79.34782608695652,57,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
9,2025-05-09,10,39.965362717946896,27.257187604366646,17.24708064374967,90.57971014492753,26,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
10,2025-05-10,10,24.403379409956937,18.25909579417672,12.139939654243344,97.46376811594203,7,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
11,2025-05-11,10,53.35442137895552,32.32820809805751,17.058068162798094,85.8108108108108,21,0,148,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
