lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-05-01,10,45.00391509054287,41.089531635875694,25.25750575609734,100.0,0,0,177,0.02096853264481099,5.349772939447281e-05,0.22546370272708893,0.42067873449089466,17.850374808945965,2.778318804321161
2,2025-05-02,10,29.903771944479544,22.711935288822794,14.659756303810829,77.17391304347827,63,0,276,0.005,0.0001,0.16565965487596768,0.5,17.095849762530563,3.020391744860988
3,2025-05-03,10,36.95650379247944,27.06060319371807,16.218210868178648,72.82608695652173,75,0,276,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
4,2025-05-04,10,37.41777560289744,24.59502396896098,16.076041700221637,76.34408602150538,66,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
5,2025-05-05,10,43.99496262021001,30.088176129693995,14.28114484748811,60.215053763440864,111,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
6,2025-05-06,10,34.56828742298782,26.743112087183334,12.59776436779071,47.67025089605735,146,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
7,2025-05-07,10,39.24142461093826,30.357670482171233,12.81023671428268,27.598566308243726,202,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
8,2025-05-08,10,30.454160043974113,21.41434635549253,13.69002648041214,74.55197132616487,71,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
9,2025-05-09,10,32.136544316850774,22.122562164695314,13.980695725304335,81.00358422939068,53,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
10,2025-05-10,10,20.196923118644875,15.006296598847834,10.039914410336777,96.7741935483871,9,0,279,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
11,2025-05-11,10,44.62174595058462,27.591128977524846,14.806987677082112,84.76821192052981,23,0,151,0.005,8.128307087760047e-05,0.5,0.5,30.74086695158057,2.0
