lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-08-17,10,14.234072840273667,9.46820194501297,9.068327897965831,100.0,0,0,151,0.05,5.5123422168604715e-05,0.01,0.38864335294629865,22.49329284266869,5.894999762686065
2,2020-08-18,10,16.364245176331174,11.770631689060012,11.887149088748199,83.50877192982456,10,37,285,0.005,0.0001,0.01,0.5,21.341846052279923,6.0
3,2020-08-19,10,20.217976250408128,15.442116417223831,12.841970898291619,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
4,2020-08-20,10,30.074942092730264,20.32576946682716,13.805189317365526,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
5,2020-08-21,10,15.437112449301143,12.328029938851639,10.94092064351882,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
6,2020-08-22,10,23.089100012020598,18.733920653960404,14.623812392802604,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
7,2020-08-23,10,27.753883104742876,21.594864925089468,16.013502039155387,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
8,2020-08-24,10,19.127094787395354,12.83311591687702,10.511896390113137,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
9,2020-08-25,10,28.05551287865804,19.277300469649933,13.790170565231897,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
10,2020-08-26,10,22.828438916174267,15.427652602777016,11.77708612043399,100.0,0,0,285,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
11,2020-08-27,10,30.559054631244774,19.110101131054428,13.05621208217897,100.0,0,0,144,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
