lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-08-17,10,14.096889216551245,10.9155141251371,11.925730996634016,100.0,0,0,142,0.05,5.5123422168604715e-05,0.01,0.38864335294629865,22.49329284266869,5.894999762686065
2,2020-08-18,10,32.426320988622194,24.407273544735013,24.659635934326783,86.23188405797102,7,31,276,0.005,0.0001,0.01,0.5,21.341846052279923,6.0
3,2020-08-19,10,29.44171302494723,21.874490025035108,17.788331661109734,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
4,2020-08-20,10,48.83797934530891,31.854280760273205,20.718334910715207,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
5,2020-08-21,10,21.364081590898305,15.86777606014616,13.693521023526339,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
6,2020-08-22,10,34.40246589160461,27.662494727902274,21.466098927105275,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
7,2020-08-23,10,42.89041056069902,32.99318623468778,24.49264452743886,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
8,2020-08-24,10,28.963962232009607,17.844359822143684,13.962845571264584,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
9,2020-08-25,10,44.59730359553648,28.787187288175588,19.72573157205994,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
10,2020-08-26,10,35.01509215174161,22.022933992721953,16.062343060494243,100.0,0,0,276,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
11,2020-08-27,10,48.872031607938986,27.40387172649187,17.052257148516293,100.0,0,0,135,0.05,0.0001,0.01,0.5,21.955361513287947,3.3148272779412418
