PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,22.5219484672073,5.947152879539362,16.028336832398534,4.032331689369361,12.57420340325509,1.9911537312972092,98.50079744816586,4.972292349177155,11
30,31.125587607282192,8.685038853361144,22.00248716509373,5.77397137221312,17.12704013459241,3.063703193831264,98.54932301740813,4.811351243262185,11
45,34.0465300842038,10.164680158292118,23.76175379092789,6.545467360204866,18.393993835594905,3.8318860343147447,98.6314760508309,4.538880456009343,11
60,34.62802274598711,11.108354632065968,23.78485166431361,6.88328786079183,18.322497757562843,4.291632815264544,98.74835309617919,4.151243149983702,11
