PH,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,Time_in_Range_mean,Time_in_Range_std,N_folds
15,21.021338962844684,8.334481293049196,12.11304183846481,3.746093688923992,7.518043014538002,2.0082172905563045,77.15966272269823,11.620909429895578,12
30,31.81761273729477,12.357030764845925,19.922339363103966,6.671827656571938,12.099790050757704,3.5633098918903565,79.59908794606012,10.827607675739552,12
45,39.50114562508322,15.408778860626748,25.899341658977193,9.161144276067297,15.492095528172717,4.797023961994764,80.87781232456707,10.29137490739367,12
60,42.89663314600116,16.852333568058302,29.209903304250357,10.640800271465867,17.155006720848135,5.272395417461215,82.91025755016152,9.386689607239951,12
