fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2021-01-23,11,26.202151752497365,19.43462964756646,13.64548027595815,90.96385542168674,15,0,166,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
2,2021-01-24,11,44.341770880398755,28.66434045984587,15.027002041123696,87.81362007168458,34,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
3,2021-01-25,11,47.45821447998882,31.15378322328326,17.99602232016394,75.98566308243727,67,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
4,2021-01-26,11,59.01816182548471,36.967601345257684,21.937099737382994,82.79569892473118,48,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
5,2021-01-27,11,44.70445740688208,32.58812120741461,18.430907580293702,73.47670250896059,74,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
6,2021-01-28,11,40.15263777753359,24.353372499614252,16.174240934870337,84.58781362007169,43,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
7,2021-01-29,11,33.250370878702405,20.04499644330469,12.55423971410788,89.6057347670251,29,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
8,2021-01-30,11,33.036864251207724,25.736190085525728,15.408551226876959,69.89247311827957,84,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
9,2021-01-31,11,57.84491968995166,36.32424834647728,20.120380035672948,66.66666666666666,93,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
10,2021-02-01,11,54.07819405309345,30.84797863185306,18.76232118763391,80.28673835125448,55,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
11,2021-02-02,11,29.085979473896153,20.742116353136165,12.242899013389335,68.45878136200717,88,0,279,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
12,2021-02-03,11,4.840025031361904,3.9347216644472223,3.6060022705987405,100.0,0,0,30,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
