fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2021-01-23,11,29.65024098444382,22.636105887308947,16.277232720695284,92.02453987730061,13,0,163,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
2,2021-01-24,11,53.534096464207195,34.9449168361165,18.318583348589822,88.40579710144928,32,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
3,2021-01-25,11,49.83932648672984,34.79988379568395,20.200177458794293,77.53623188405797,62,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
4,2021-01-26,11,61.876427950597034,41.34661306604282,23.930815638221702,84.05797101449275,44,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
5,2021-01-27,11,54.42976472006981,39.270663034391625,21.58727864928347,75.36231884057972,68,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
6,2021-01-28,11,39.48681810580048,25.80461244703586,16.579651700822797,88.04347826086956,33,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
7,2021-01-29,11,32.24821343278859,21.27737669145285,13.331234671373457,91.30434782608695,24,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
8,2021-01-30,11,37.12836110666312,29.33641077837376,17.70613780912399,74.27536231884058,71,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
9,2021-01-31,11,64.80443834641841,41.33989212219722,22.146859238585755,67.7536231884058,89,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
10,2021-02-01,11,53.860350053744455,32.16371777848024,18.246952990971458,81.88405797101449,50,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
11,2021-02-02,11,32.891582313234245,23.397518215970923,13.602903461246502,74.27536231884058,71,0,276,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
12,2021-02-03,11,5.009977787316801,4.201128997949589,3.9322529624690494,100.0,0,0,27,0.005,2.2523650036354155e-05,0.5,0.5,42.32389962741258,2.0
